"TABLE_NAME","COMMENTS"
"USER_CLUSTER_HASH_EXPRESSIONS","Hash functions for the user's hash clusters"
"ALL_CLUSTER_HASH_EXPRESSIONS","Hash functions for all accessible clusters"
"USER_UPDATABLE_COLUMNS","Description of updatable columns"
"ALL_UPDATABLE_COLUMNS","Description of all updatable columns"
"USER_UNUSED_COL_TABS","User tables with unused columns"
"ALL_UNUSED_COL_TABS","All tables with unused columns accessible to the user"
"USER_PARTIAL_DROP_TABS","User tables with unused columns"
"ALL_PARTIAL_DROP_TABS","All tables with patially dropped columns accessible to the user"
"USER_RESUMABLE","Resumable session information for current user"
"USER_EDITIONING_VIEWS","Descriptions of the user's own Editioning Views"
"ALL_EDITIONING_VIEWS","Description of Editioning Views accessible to the user"
"USER_EDITIONING_VIEWS_AE","Descriptions of the user's own Editioning Views"
"ALL_EDITIONING_VIEWS_AE","Description of Editioning Views accessible to the user"
"USER_EDITIONING_VIEW_COLS","Relationship between columns of user's Editioning Views and the table columns to which they map"
"ALL_EDITIONING_VIEW_COLS","Relationship between columns of Editioning Views accessible to the user and the table columns to which they map"
"USER_EDITIONING_VIEW_COLS_AE","Relationship between columns of user's Editioning Views and the table columns to which they map"
"ALL_EDITIONING_VIEW_COLS_AE","Relationship between columns of Editioning Views accessible to the user and the table columns to which they map"
"ALL_EDITIONS","Describes all editions in the database"
"ALL_EDITION_COMMENTS","Describes comments on all editions in the database"
"USER_LIBRARIES","Description of the user's own libraries"
"ALL_LIBRARIES","Description of libraries accessible to the user"
"USER_PROCEDURES","Description of the user functions/procedures/packages/types/triggers"
"ALL_PROCEDURES","Functions/procedures/packages/types/triggers available to the user"
"ALL_STORED_SETTINGS","Parameter settings for objects accessible to the user"
"USER_STORED_SETTINGS","Parameter settings for objects owned by the user"
"USER_PLSQL_OBJECT_SETTINGS","Compiler settings of stored objects owned by the user"
"ALL_PLSQL_OBJECT_SETTINGS","Compiler settings of stored objects accessible to the user"
"ALL_ARGUMENTS","Arguments in object accessible to the user"
"USER_ARGUMENTS","Arguments in object accessible to the user"
"USER_ASSEMBLIES","Description of the user's own assemblies"
"ALL_ASSEMBLIES","Description of assemblies accessible to the user"
"USER_IDENTIFIERS","Identifiers in stored objects accessible to the user"
"ALL_IDENTIFIERS","All identifiers in stored objects accessible to the user"
"USER_DB_LINKS","Database links owned by the user"
"ALL_DB_LINKS","Database links accessible to the user"
"USER_RECYCLEBIN","User view of his recyclebin"
"USER_RESOURCE_LIMITS","Display resource limit of the user"
"USER_PASSWORD_LIMITS","Display password limits of the user"
"USER_USERS","Information about the current user"
"ALL_USERS","Information about all users of the database"
"ALL_DEF_AUDIT_OPTS","Auditing options for newly created objects"
"USER_OBJ_AUDIT_OPTS","Auditing options for user's own tables and views with atleast one option set"
"USER_AUDIT_TRAIL","Audit trail entries relevant to the user"
"USER_AUDIT_SESSION","All audit trail records concerning CONNECT and DISCONNECT"
"USER_AUDIT_STATEMENT","Audit trail records concerning  grant, revoke, audit, noaudit and alter system"
"USER_AUDIT_OBJECT","Audit trail records for statements concerning objects, specifically: table, cluster, view, index, sequence,  [public] database link, [public] synonym, procedure, trigger, rollback segment, tablespace, role, user"
"USER_SYS_PRIVS","System privileges granted to current user"
"USER_PROXIES","Description of connections the user is allowed to proxy"
"USER_TYPES","Description of the user's own types"
"ALL_TYPES","Description of types accessible to the user"
"USER_COLL_TYPES","Description of the user's own named collection types"
"ALL_COLL_TYPES","Description of named collection types accessible to the user"
"USER_TYPE_ATTRS","Description of attributes of the user's own types"
"ALL_TYPE_ATTRS","Description of attributes of types accessible to the user"
"USER_TYPE_METHODS","Description of methods of the user's own types"
"ALL_TYPE_METHODS","Description of methods of types accessible to the user"
"USER_METHOD_PARAMS","Description of method parameters of the user's own types"
"ALL_METHOD_PARAMS","Description of method parameters of types accessible
to the user"
"USER_METHOD_RESULTS","Description of method results of the user's own types"
"ALL_METHOD_RESULTS","Description of method results of types accessible
to the user"
"USER_SQLJ_TYPES","Description of the user's own types"
"ALL_SQLJ_TYPES","Description of types accessible to the user"
"USER_TYPE_VERSIONS","Description of each version of the user's types"
"ALL_TYPE_VERSIONS","Description of each type version accessible to the user"
"USER_PENDING_CONV_TABLES","All user's tables which are not upgraded to the latest type version"
"ALL_PENDING_CONV_TABLES","All tables accessible to the user which are not upgraded to the latest type version"
"USER_SQLJ_TYPE_ATTRS","Description of attributes of the user's own types"
"ALL_SQLJ_TYPE_ATTRS","Description of attributes of types accessible to the user"
"USER_SQLJ_TYPE_METHODS","Description of methods of the user's own types"
"ALL_SQLJ_TYPE_METHODS","Description of methods of types accessible to the user"
"USER_OLDIMAGE_COLUMNS","Gives all object tables and columns in old (8.0) image format"
"USER_NESTED_TABLE_COLS","Columns of nested tables"
"ALL_NESTED_TABLE_COLS","Columns of nested tables"
"ALL_DIRECTORIES","Description of all directories accessible to the user"
"USER_REFS","Description of the user's own REF columns contained in the user's own tables"
"ALL_REFS","Description of REF columns contained in tables accessible to the user"
"USER_NESTED_TABLES","Description of nested tables contained in the user's own tables"
"ALL_NESTED_TABLES","Description of nested tables in tables accessible to the user"
"USER_VARRAYS","Description of varrays contained in the user's own tables"
"ALL_VARRAYS","Description of varrays in tables accessible to the user"
"USER_OBJ_COLATTRS","Description of object columns and attributes contained in tables owned by the user"
"ALL_OBJ_COLATTRS","Description of object columns and attributes contained in the tables accessible to the user"
"USER_CONS_OBJ_COLUMNS","List of types an object column or attribute is constrained to in the tables owned by the user"
"ALL_CONS_OBJ_COLUMNS","List of types an object column or attribute is constrained to in the tables accessible to the user"
"ALL_OPERATORS","All operators available to the user"
"USER_OPERATORS","All user operators"
"USER_OPBINDINGS","All binding functions or methods on operators defined by the user"
"ALL_OPBINDINGS","All binding functions for operators available to the user"
"USER_OPANCILLARY","All ancillary opertors defined by user"
"ALL_OPANCILLARY","All ancillary operators available to the user"
"USER_OPARGUMENTS","All operator arguments of operators defined by user"
"ALL_OPARGUMENTS","All arguments of the operators available to the user"
"USER_OPERATOR_COMMENTS","Comments for user-defined operators"
"ALL_OPERATOR_COMMENTS","Comments for user-defined operators"
"USER_INDEXTYPES","All user indextypes"
"ALL_INDEXTYPES","All indextypes available to the user"
"USER_INDEXTYPE_COMMENTS","Comments for user-defined indextypes"
"ALL_INDEXTYPE_COMMENTS","Comments for user-defined indextypes"
"USER_INDEXTYPE_ARRAYTYPES","All array types specified by the indextype"
"ALL_INDEXTYPE_ARRAYTYPES","All array types specified by the indextype"
"USER_INDEXTYPE_OPERATORS","All user indextype operators"
"ALL_INDEXTYPE_OPERATORS","All operators available to the user"
"USER_SECONDARY_OBJECTS","All secondary objects for domain indexes"
"ALL_SECONDARY_OBJECTS","All secondary objects for domain indexes"
"ALL_CHANGE_SOURCES","Change Data Capture change sources"
"ALL_CHANGE_SETS","Change Data Capture change sets"
"ALL_CHANGE_TABLES","Change Data Capture change tables"
"ALL_CHANGE_PROPAGATIONS","Change Data Capture propagations "
"ALL_CHANGE_PROPAGATION_SETS","Change Data Capture propagated change set"
"USER_SOURCE_TABLES","Source tables available for Change Data Capture"
"USER_PUBLISHED_COLUMNS","Source columns available for Change Data Capture"
"USER_SUBSCRIPTIONS","Change Data Capture subscriptions"
"USER_SUBSCRIBED_TABLES","Change Data Capture subscribed tables"
"USER_SUBSCRIBED_COLUMNS","Change Data Capture subscribed columns"
"ALL_SUMDELTA","Direct path load entries accessible to the user"
"ALL_SUMMAP","mapping entries of transaction ID and commit SCN accessible to the user"
"USER_EXTERNAL_TABLES","Description of the user's own external tables"
"ALL_EXTERNAL_TABLES","Description of the external tables accessible to the user"
"USER_EXTERNAL_LOCATIONS","Description of the user's external tables locations"
"ALL_EXTERNAL_LOCATIONS","Description of the external tables locations accessible to the user"
"USER_MINING_MODELS","Description of the user's own models"
"ALL_MINING_MODELS","Description of the models accessible to the user"
"USER_MINING_MODEL_ATTRIBUTES","Description of the user's own model attributes"
"ALL_MINING_MODEL_ATTRIBUTES","Description of all the model attributes accessible to the user"
"USER_MINING_MODEL_SETTINGS","Description of the user's own model settings"
"ALL_MINING_MODEL_SETTINGS","Description of all the settings accessible to the user"
"USER_TAB_COL_STATISTICS","Columns of user's tables, views and clusters"
"ALL_TAB_COL_STATISTICS","Columns of user's tables, views and clusters"
"USER_TAB_HISTOGRAMS","Histograms on columns of user's tables"
"ALL_TAB_HISTOGRAMS","Histograms on columns of all tables visible to user"
"USER_ASSOCIATIONS","All assocations defined by the user"
"ALL_ASSOCIATIONS","All associations available to the user"
"USER_USTATS","All statistics on tables or indexes owned by the user"
"ALL_USTATS","All statistics"
"USER_TAB_MODIFICATIONS","Information regarding modifications to tables"
"ALL_TAB_MODIFICATIONS","Information regarding modifications to tables"
"ALL_TAB_STATS_HISTORY","History of table statistics modifications"
"USER_TAB_STATS_HISTORY","History of table statistics modifications"
"ALL_TAB_STAT_PREFS","Statistics preferences for tables"
"USER_TAB_STAT_PREFS","Statistics preferences for tables"
"ALL_TAB_PENDING_STATS","Pending statistics of tables, partitions, and subpartitions"
"USER_TAB_PENDING_STATS","History of table statistics modifications"
"ALL_IND_PENDING_STATS","Pending statistics of tables, partitions, and subpartitions"
"USER_IND_PENDING_STATS","Pending statistics of tables, partitions, and subpartitions"
"ALL_COL_PENDING_STATS","Pending statistics of tables, partitions, and subpartitions"
"USER_COL_PENDING_STATS","Pending statistics of tables, partitions, and subpartitions"
"ALL_TAB_HISTGRM_PENDING_STATS","Pending statistics of tables, partitions, and subpartitions"
"USER_TAB_HISTGRM_PENDING_STATS","Pending statistics of tables, partitions, and subpartitions"
"ALL_DIMENSIONS","Description of the dimension objects accessible to the DBA"
"USER_DIMENSIONS","Description of the dimension objects accessible to the DBA"
"ALL_DIM_LEVELS","Description of dimension levels visible to DBA"
"USER_DIM_LEVELS","Description of dimension levels visible to DBA"
"ALL_DIM_LEVEL_KEY","Representations of columns of a dimension level"
"USER_DIM_LEVEL_KEY","Representations of columns of a dimension level"
"ALL_DIM_ATTRIBUTES","Representation of the relationship between a dimension level and
 a functionally dependent column"
"USER_DIM_ATTRIBUTES","Representation of the relationship between a dimension level and
 a functionally dependent column"
"ALL_DIM_HIERARCHIES","Representation of a dimension hierarchy"
"USER_DIM_HIERARCHIES","Representation of a dimension hierarchy"
"ALL_DIM_CHILD_OF","Representaion of a 1:n hierarchical relationship between a pair of levels in
 a dimension"
"USER_DIM_CHILD_OF","Representaion of a 1:n hierarchical relationship between a pair of levels in
 a dimension"
"ALL_DIM_JOIN_KEY","Representation of a join between two dimension tables. "
"USER_DIM_JOIN_KEY","Representation of a join between two dimension tables. "
"ALL_SUMMARIES","Description of the summaries accessible to the user"
"USER_SUMMARIES","Description of the summaries created by the user"
"ALL_MVIEW_ANALYSIS","Description of the materialized views accessible to the user"
"USER_MVIEW_ANALYSIS","Description of the materialized views created by the user"
"USER_MVIEW_AGGREGATES","Description of the materialized view aggregates created by the user"
"ALL_MVIEW_AGGREGATES","Description of the materialized view aggregates accessible to the user"
"ALL_MVIEW_DETAIL_RELATIONS","Description of the materialized view detail tables accessible to the user"
"USER_MVIEW_DETAIL_RELATIONS","Description of the materialized view detail tables of the materialized
views created by the user"
"ALL_MVIEW_KEYS","Description of the columns that appear in the GROUP BY
list of a materialized view accessible to the user"
"USER_MVIEW_KEYS","Description of the columns that appear in the GROUP BY
list of a materialized view  created by the user"
"ALL_MVIEW_JOINS","Description of a join between two columns in the
WHERE clause of a materialized view accessible to the user"
"USER_MVIEW_JOINS","Description of a join between two columns in the
WHERE clause of a materialized view created by the user"
"ALL_MVIEW_COMMENTS","Comments on materialized views accessible to the user"
"USER_MVIEW_COMMENTS","Comments on materialized views owned by the user"
"ALL_REFRESH_DEPENDENCIES","Description of the detail tables that materialized views depend on for
refresh"
"ALL_REWRITE_EQUIVALENCES","Description of all rewrite equivalence accessible to the user"
"USER_REWRITE_EQUIVALENCES","Description of all rewrite equivalence owned by the user"
"ALL_MVIEW_DETAIL_PARTITION","Freshness information of all PCT materialized views in the database"
"USER_MVIEW_DETAIL_PARTITION","Freshness information of all PCT materialized views in the database"
"ALL_MVIEW_DETAIL_SUBPARTITION","Freshness information of all PCT materialized views in the database"
"USER_MVIEW_DETAIL_SUBPARTITION","Freshness information of all PCT materialized views in the database"
"USER_TSTZ_TAB_COLS","Columns of user's tables, which have column(s) defined on timestamp with time zone data type or ADT type containing attribute(s) of timestamp with time zone data type"
"ALL_TSTZ_TAB_COLS","Columns of user's tables, which have column(s) defined on timestamp with time zone data type or ADT type containing attribute(s) of timestamp with time zone data type"
"USER_TSTZ_TABLES","Description of the user's own tables, which have column(s) defined on timestamp with time zone data type or ADT type containing attribute(s) of timestamp with time zone data type"
"ALL_TSTZ_TABLES","Description of tables accessible to the user, which have column(s) defined on timestamp with time zone data type or ADT type containing attribute(s) of timestamp with time zone data type"
"USER_ERRORS","Current errors on stored objects owned by the user"
"ALL_ERRORS","Current errors on stored objects that user is allowed to create"
"USER_ERRORS_AE","Current errors on stored objects owned by the user"
"ALL_ERRORS_AE","Current errors on stored objects that user is allowed to create"
"USER_SOURCE_AE","Source of stored objects accessible to the user"
"ALL_SOURCE_AE","Current source on stored objects that user is allowed to create"
"USER_SOURCE","Source of stored objects accessible to the user"
"ALL_SOURCE","Current source on stored objects that user is allowed to create"
"USER_TRIGGERS","Triggers having FOLLOWS or PRECEDES ordering owned by the user"
"ALL_TRIGGERS","Triggers accessible to the current user"
"USER_INTERNAL_TRIGGERS","Description of the internal triggers on the user's own tables"
"ALL_INTERNAL_TRIGGERS","Description of the internal triggers on the tables accessible to the user"
"USER_TRIGGER_COLS","Column usage in user's triggers"
"ALL_TRIGGER_COLS","Column usage in user's triggers or in triggers on user's tables"
"USER_DEPENDENCIES","Dependencies to and from a users objects"
"ALL_DEPENDENCIES","Dependencies to and from objects accessible to the user"
"USER_OBJECT_SIZE","Sizes, in bytes, of various pl/sql objects"
"ALL_TRIGGER_ORDERING","Triggers having FOLLOWS or PRECEDES ordering accessible to the current user"
"USER_JOBS","All jobs owned by this user"
"USER_SEGMENTS","Storage allocated for all database segments"
"USER_EXTENTS","Extents comprising segments owned by the user"
"USER_FREE_SPACE","Free extents in tablespaces accessible to the user"
"USER_TABLESPACES","Description of accessible tablespaces"
"USER_TS_QUOTAS","Tablespace quotas for the user"
"ALL_CONTEXT","Description of all active context namespaces under the current session"
"USER_RULE_SETS","Rule sets owned by the user"
"ALL_RULE_SETS","Rule sets seen by the user"
"USER_RULESETS","Rulesets owned by the user: maintained for backward compatibility"
"ALL_RULESETS","Rulesets seen by the user: maintained for backward compatibility"
"USER_RULES","Rules owned by the user"
"ALL_RULES","Rules seen by the user"
"USER_RULE_SET_RULES","Rules in user rule sets"
"ALL_RULE_SET_RULES","Rules in all rule sets seen by the user"
"USER_EVALUATION_CONTEXTS","rule evaluation contexts owned by user"
"ALL_EVALUATION_CONTEXTS","rule evaluation contexts seen by user"
"USER_EVALUATION_CONTEXT_TABLES","tables in user rule evaluation contexts"
"ALL_EVALUATION_CONTEXT_TABLES","tables in all rule evaluation contexts seen by the user"
"USER_EVALUATION_CONTEXT_VARS","variables in user rule evaluation contexts"
"ALL_EVALUATION_CONTEXT_VARS","variables in all rule evaluation contexts seen by the user"
"ALL_SNAPSHOTS","Snapshots the user can access"
"USER_SNAPSHOTS","Snapshots the user can look at"
"ALL_SNAPSHOT_LOGS","All snapshot logs in the database that the user can see"
"USER_SNAPSHOT_LOGS","All snapshot logs owned by the user"
"ALL_REFRESH","All the refresh groups that the user can touch"
"USER_REFRESH","All the refresh groups"
"ALL_REFRESH_CHILDREN","All the objects in refresh groups, where the user can touch the group"
"USER_REFRESH_CHILDREN","All the objects in refresh groups, where the user owns the refresh group"
"ALL_REGISTERED_SNAPSHOTS","Remote snapshots of local tables that the user can see"
"USER_REGISTERED_SNAPSHOTS","Remote snapshots of local tables currently using logs owned by the user"
"ALL_MVIEWS","All materialized views in the database"
"USER_MVIEWS","All materialized views in the database"
"ALL_MVIEW_REFRESH_TIMES","Materialized views and their last refresh times  for each master table that the user can look at"
"USER_MVIEW_REFRESH_TIMES","Materialized views and their last refresh times for each master table that the user can look at"
"ALL_MVIEW_LOGS","All materialized view logs in the database that the user can see"
"USER_MVIEW_LOGS","All materialized view logs owned by the user"
"ALL_BASE_TABLE_MVIEWS","All materialized views with log(s) in the database that the user can see"
"USER_BASE_TABLE_MVIEWS","All materialized views with log(s) owned by the user in the database"
"ALL_REGISTERED_MVIEWS","Remote materialized views of local tables that the user can see"
"USER_REGISTERED_MVIEWS","Remote materialized views of local tables currently using logs owned by the user"
"ALL_POLICIES","All policies for objects if the user has system privileges or owns the objects"
"USER_POLICIES","All row level security policies for synonyms, tables, or views owned by the user"
"ALL_POLICY_GROUPS","All policy groups defined for any synonym, table or view accessable to the user"
"USER_POLICY_GROUPS","All policy groups defined for any synonym, table, or view"
"ALL_POLICY_CONTEXTS","All policy driving context defined for all synonyms, tables, or views accessable to the user"
"USER_POLICY_CONTEXTS","All policy driving context defined for synonyms, tables, or views in current schema"
"ALL_SEC_RELEVANT_COLS","Security Relevant columns of all VPD policies for tables or views which the user has access"
"USER_SEC_RELEVANT_COLS","Security Relevant columns of VPD policies for tables or views owned by the user"
"ALL_AUDIT_POLICIES","All fine grained auditing policies in the database"
"ALL_AUDIT_POLICY_COLUMNS","All fine grained auditing policy columns in the database"
"USER_AUDIT_POLICIES","All fine grained auditing policies for objects in user schema"
"USER_AUDIT_POLICY_COLUMNS","Users fine grained auditing policy columns in the database"
"USER_CHANGE_NOTIFICATION_REGS","change notification registrations for current user"
"USER_CQ_NOTIFICATION_QUERIES","Description of registered queries for CQ notification"
"USER_SUBSCR_REGISTRATIONS","All subscription registrations created by the user"
"ALL_QUEUE_TABLES","All queue tables accessible to the user"
"USER_QUEUE_TABLES","All queue tables created by the user"
"ALL_QUEUES","All queues accessible to the user"
"ALL_DEQUEUE_QUEUES","All queues accessible to the user"
"ALL_INT_DEQUEUE_QUEUES","All queues accessible to the user"
"USER_QUEUES","All queues owned by the user"
"USER_RSRC_CONSUMER_GROUP_PRIVS","Switch privileges for consumer groups for the user"
"USER_RSRC_MANAGER_SYSTEM_PRIVS","system privileges for the resource manager for the user"
"USER_OUTLINES","Stored outlines owned by the user"
"USER_OUTLINE_HINTS","Hints stored in outlines owned by the user"
"USER_DATAPUMP_JOBS","Datapump jobs for current user"
"ALL_REPGROUP_PRIVILEGES","Information about users who are registered for object group privileges"
"USER_REPGROUP_PRIVILEGES","Information about users who are registered for object group privileges"
"USER_REPGROUP","Replication information about the current user"
"ALL_REPGROUP","Information about replicated object groups"
"USER_REPSITES","N-way replication information about the current user"
"ALL_REPSITES","N-way replication information"
"USER_REPSCHEMA","N-way replication information about the current user"
"ALL_REPSCHEMA","N-way replication information"
"USER_REPOBJECT","Replication information about the current user's objects"
"ALL_REPOBJECT","Information about replicated objects"
"ALL_REPCOLUMN","Replicated top-level columns (table) sorted alphabetically in ascending order"
"USER_REPCOLUMN","Replicated columns for the current user's table in ascending order"
"USER_REPPROP","Propagation information about the current user's objects"
"ALL_REPPROP","Propagation information about replicated objects"
"USER_REPKEY_COLUMNS","Primary columns for a table using column-level replication"
"ALL_REPKEY_COLUMNS","Primary columns for a table using column-level replication"
"USER_REPGENOBJECTS","Objects generated for the current user to support replication"
"ALL_REPGENOBJECTS","Objects generated to support replication"
"USER_REPGENERATED","Objects generated for the current user to support replication"
"ALL_REPGENERATED","Objects generated to support replication"
"USER_REPCATLOG","Information about the current user's asynchronous administration requests"
"ALL_REPCATLOG","Information about asynchronous administration requests"
"USER_REPDDL","Arguments that do not fit in a single repcat log record"
"ALL_REPDDL","Arguments that do not fit in a single repcat log record"
"ALL_REPPRIORITY_GROUP","Information about all priority groups which are accessible to the user"
"USER_REPPRIORITY_GROUP","Information about user's priority groups"
"ALL_REPPRIORITY","Values and their corresponding priorities in all priority groups which are accessible to the user"
"USER_REPPRIORITY","Values and their corresponding priorities in user's priority groups"
"ALL_REPCOLUMN_GROUP","All column groups of replicated tables which are accessible to the user"
"USER_REPCOLUMN_GROUP","All column groups of user's replicated tables"
"ALL_REPGROUPED_COLUMN","Columns in the all column groups of replicated tables which are accessible to the user"
"USER_REPGROUPED_COLUMN","Columns in the all column groups of user's replicated tables"
"ALL_REPCONFLICT","All conflicts with available resolutions for user's replicated tables"
"ALL_REPRESOLUTION_METHOD","All conflict resolution methods accessible to the user"
"USER_REPRESOLUTION_METHOD","All conflict resolution methods accessible to the user"
"ALL_REPRESOLUTION","Description of all conflict resolutions for replicated tables which are accessible to the user"
"USER_REPRESOLUTION","Description of all conflict resolutions for user's replicated tables"
"ALL_REPRESOLUTION_STATISTICS","Statistics for conflict resolutions for replicated tables which are accessible to the user"
"USER_REPRESOLUTION_STATISTICS","Statistics for conflict resolutions for user's replicated tables"
"ALL_REPRESOL_STATS_CONTROL","Information about statistics collection for conflict resolutions for replicated tables which are accessible to the user"
"USER_REPRESOL_STATS_CONTROL","Information about statistics collection for conflict resolutions for user's replicated tables"
"ALL_REPPARAMETER_COLUMN","All columns used for resolving conflicts in replicated tables which are accessible to the user"
"USER_REPPARAMETER_COLUMN","All columns used for resolving conflicts in user's replicated tables"
"ALL_REPAUDIT_ATTRIBUTE","Information about attributes automatically maintained for replication"
"USER_REPAUDIT_ATTRIBUTE","Information about attributes automatically maintained for replication"
"ALL_REPAUDIT_COLUMN","Information about columns in all shadow tables for replicated tables which are accessible to the user"
"USER_REPAUDIT_COLUMN","Information about columns in all shadow tables for user's replicated tables"
"ALL_REPFLAVORS","Flavors defined for replicated object groups"
"USER_REPFLAVORS","Flavors current user created for replicated object groups"
"ALL_REPFLAVOR_OBJECTS","Replicated objects in flavors"
"USER_REPFLAVOR_OBJECTS","Replicated user objects in flavors"
"ALL_REPFLAVOR_COLUMNS","Replicated columns in flavors"
"USER_REPFLAVOR_COLUMNS","Replicated columns from current user's tables in flavors"
"USER_WARNING_SETTINGS","Warning Parameter settings for objects owned by the user"
"ALL_WARNING_SETTINGS","Warnings ettings for objects accessible to the user"
"ALL_STAT_EXTENSIONS","Optimizer statistics extensions"
"USER_STAT_EXTENSIONS","Optimizer statistics extensions"
"ALL_TAB_STATISTICS","Optimizer statistics for all tables accessible to the user"
"USER_TAB_STATISTICS","Optimizer statistics of the user's own tables"
"ALL_IND_STATISTICS","Optimizer statistics for all indexes on tables accessible to the user"
"USER_IND_STATISTICS","Optimizer statistics for user's own indexes"
"USER_AWS","Analytic Workspaces owned by the user"
"ALL_AWS","Analytic Workspaces accessible to the user"
"USER_AW_PS","Pagespaces in Analytic Workspaces owned by the user"
"ALL_AW_PS","Pagespaces in Analytic Workspaces accessible to the user"
"ALL_CUBES","OLAP Cubes in the database accessible to the user"
"USER_CUBES","OLAP Cubes owned by the user in the database"
"ALL_CUBE_DIMENSIONALITY","OLAP Cube Dimensionality in the database accessible to the user"
"USER_CUBE_DIMENSIONALITY","OLAP Cube Dimensionality owned by the user in the database"
"ALL_CUBE_MEASURES","OLAP Measures in the database accessible to the user"
"USER_CUBE_MEASURES","OLAP Measures owned by the user in the database"
"ALL_CUBE_DIMENSIONS","OLAP Cube Dimensions in the database accessible by the user"
"USER_CUBE_DIMENSIONS","OLAP Cube Dimensions owned by the user in the database"
"ALL_CUBE_HIERARCHIES","OLAP Hierarchies in the database accessible by the user"
"USER_CUBE_HIERARCHIES","OLAP Hierarchies owned by the user in the database"
"ALL_CUBE_HIER_LEVELS","OLAP Hierarchy Levels in the database accessible to the user"
"USER_CUBE_HIER_LEVELS","OLAP Hierarchy Levels owned by the user in the database"
