"TABLE_NAME","COMMENTS"
"USER_OBJECT_SIZE","Sizes, in bytes, of various pl/sql objects"
"DBA_TRIGGER_ORDERING","All triggers having FOLLOWS or PRECEDES ordering in the database"
"ALL_TRIGGER_ORDERING","Triggers having FOLLOWS or PRECEDES ordering accessible to the current user"
"DBA_JOBS_RUNNING","All jobs in the database which are currently running, join v$lock and job$"
"DBA_JOBS","All jobs in the database"
"USER_JOBS","All jobs owned by this user"
"USER_SEGMENTS","Storage allocated for all database segments"
"DBA_SEGMENTS","Storage allocated for all database segments"
"DBA_SEGMENTS_OLD","Storage allocated for all database segments"
"USER_EXTENTS","Extents comprising segments owned by the user"
"DBA_EXTENTS","Extents comprising all segments in the database"
"DBA_UNDO_EXTENTS","Extents comprising all segments in the system managed undo tablespaces"
"DBA_LMT_USED_EXTENTS","All extents in the locally managed tablespaces"
"DBA_DMT_USED_EXTENTS","All extents in the dictionary managed tablespaces"
"USER_FREE_SPACE","Free extents in tablespaces accessible to the user"
"DBA_FREE_SPACE","Free extents in all tablespaces"
"DBA_LMT_FREE_SPACE","Free extents in all locally managed tablespaces"
"DBA_DMT_FREE_SPACE","Free extents in all dictionary managed tablespaces"
"DBA_FREE_SPACE_COALESCED","Statistics on Coalesced Space in Tablespaces"
"DBA_DATA_FILES","Information about database data files"
"USER_TABLESPACES","Description of accessible tablespaces"
"DBA_TABLESPACES","Description of all tablespaces"
"DBA_TEMP_FILES","Information about database temp files"
"DBA_TABLESPACE_GROUPS","Description of all tablespace groups"
"DBA_TABLESPACE_USAGE_METRICS","Description of all tablespace space usage metrics"
"USER_TS_QUOTAS","Tablespace quotas for the user"
"DBA_TS_QUOTAS","Tablespace quotas for all users"
"DBA_TEMP_FREE_SPACE","Summary of temporary space usage"
"ALL_CONTEXT","Description of all active context namespaces under the current session"
"DBA_CONTEXT","Description of all context namespace information"
"DBA_GLOBAL_CONTEXT","Description of all context information accessible globally"
"USER_RULE_SETS","Rule sets owned by the user"
"ALL_RULE_SETS","Rule sets seen by the user"
"DBA_RULE_SETS","Rule sets in the database"
"USER_RULESETS","Rulesets owned by the user: maintained for backward compatibility"
"ALL_RULESETS","Rulesets seen by the user: maintained for backward compatibility"
"DBA_RULESETS","Rulesets in the database: maintained for backward compatibility"
"USER_RULES","Rules owned by the user"
"ALL_RULES","Rules seen by the user"
"DBA_RULES","Rules in the databse"
"USER_RULE_SET_RULES","Rules in user rule sets"
"ALL_RULE_SET_RULES","Rules in all rule sets seen by the user"
"DBA_RULE_SET_RULES","Rules in all rule sets in the database"
"USER_EVALUATION_CONTEXTS","rule evaluation contexts owned by user"
"ALL_EVALUATION_CONTEXTS","rule evaluation contexts seen by user"
"DBA_EVALUATION_CONTEXTS","rule evaluation contexts in the database"
"USER_EVALUATION_CONTEXT_TABLES","tables in user rule evaluation contexts"
"ALL_EVALUATION_CONTEXT_TABLES","tables in all rule evaluation contexts seen by the user"
"DBA_EVALUATION_CONTEXT_TABLES","tables in all rule evaluation contexts in the database"
"USER_EVALUATION_CONTEXT_VARS","variables in user rule evaluation contexts"
"ALL_EVALUATION_CONTEXT_VARS","variables in all rule evaluation contexts seen by the user"
"DBA_EVALUATION_CONTEXT_VARS","variables in all rule evaluation contexts in the database"
"DBA_SNAPSHOTS","All snapshots in the database"
"ALL_SNAPSHOTS","Snapshots the user can access"
"USER_SNAPSHOTS","Snapshots the user can look at"
"DBA_SNAPSHOT_LOGS","All snapshot logs in the database"
"ALL_SNAPSHOT_LOGS","All snapshot logs in the database that the user can see"
"USER_SNAPSHOT_LOGS","All snapshot logs owned by the user"
"DBA_RCHILD","All the children in any refresh group.  This view is not a join."
"DBA_RGROUP","All refresh groups.  This view is not a join."
"DBA_REFRESH","All the refresh groups"
"ALL_REFRESH","All the refresh groups that the user can touch"
"USER_REFRESH","All the refresh groups"
"DBA_REFRESH_CHILDREN","All the objects in refresh groups"
"ALL_REFRESH_CHILDREN","All the objects in refresh groups, where the user can touch the group"
"USER_REFRESH_CHILDREN","All the objects in refresh groups, where the user owns the refresh group"
"DBA_REGISTERED_SNAPSHOTS","Remote snapshots of local tables"
"ALL_REGISTERED_SNAPSHOTS","Remote snapshots of local tables that the user can see"
"USER_REGISTERED_SNAPSHOTS","Remote snapshots of local tables currently using logs owned by the user"
"DBA_MVIEWS","All materialized views in the database"
"ALL_MVIEWS","All materialized views in the database"
"USER_MVIEWS","All materialized views in the database"
"DBA_MVIEW_REFRESH_TIMES","All fast refreshable materialized views and their last refresh times for each master table"
"ALL_MVIEW_REFRESH_TIMES","Materialized views and their last refresh times  for each master table that the user can look at"
"USER_MVIEW_REFRESH_TIMES","Materialized views and their last refresh times for each master table that the user can look at"
"DBA_MVIEW_LOGS","All materialized view logs in the database"
"ALL_MVIEW_LOGS","All materialized view logs in the database that the user can see"
"USER_MVIEW_LOGS","All materialized view logs owned by the user"
"DBA_BASE_TABLE_MVIEWS","All materialized views with log(s) in the database"
"ALL_BASE_TABLE_MVIEWS","All materialized views with log(s) in the database that the user can see"
"USER_BASE_TABLE_MVIEWS","All materialized views with log(s) owned by the user in the database"
"DBA_REGISTERED_MVIEWS","Remote materialized views of local tables"
"ALL_REGISTERED_MVIEWS","Remote materialized views of local tables that the user can see"
"USER_REGISTERED_MVIEWS","Remote materialized views of local tables currently using logs owned by the user"
"DBA_MVIEW_LOG_FILTER_COLS","All filter columns (excluding PK cols) being logged in the materialized view logs"
"DBA_POLICIES","All row level security policies in the database"
"ALL_POLICIES","All policies for objects if the user has system privileges or owns the objects"
"USER_POLICIES","All row level security policies for synonyms, tables, or views owned by the user"
"DBA_POLICY_GROUPS","All policy groups defined for any synonym, table, view in the database"
"ALL_POLICY_GROUPS","All policy groups defined for any synonym, table or view accessable to the user"
"USER_POLICY_GROUPS","All policy groups defined for any synonym, table, or view"
"DBA_POLICY_CONTEXTS","All policy driving context defined for any synonym, table, or view in the database"
"ALL_POLICY_CONTEXTS","All policy driving context defined for all synonyms, tables, or views accessable to the user"
"USER_POLICY_CONTEXTS","All policy driving context defined for synonyms, tables, or views in current schema"
"DBA_SEC_RELEVANT_COLS","Security Relevant columns of all VPD policies in the database"
"ALL_SEC_RELEVANT_COLS","Security Relevant columns of all VPD policies for tables or views which the user has access"
"USER_SEC_RELEVANT_COLS","Security Relevant columns of VPD policies for tables or views owned by the user"
"DBA_AUDIT_POLICIES","Fine grained auditing policies in the database"
"DBA_AUDIT_POLICY_COLUMNS","All fine grained auditing policy columns in the database"
"ALL_AUDIT_POLICIES","All fine grained auditing policies in the database"
"ALL_AUDIT_POLICY_COLUMNS","All fine grained auditing policy columns in the database"
"USER_AUDIT_POLICIES","All fine grained auditing policies for objects in user schema"
"USER_AUDIT_POLICY_COLUMNS","Users fine grained auditing policy columns in the database"
"DBA_FGA_AUDIT_TRAIL","All fine grained audit event logs"
"DBA_COMMON_AUDIT_TRAIL","Combined Standard and Fine Grained audit trail entries"
"DBA_AUDIT_MGMT_CONFIG_PARAMS","The view displays the currently configured audit trail properties that are defined by the DBMS_AUDIT_MGMT PL/SQL package"
"DBA_AUDIT_MGMT_LAST_ARCH_TS","The Last Archive Timestamps set for the Audit Trail Clean up"
"DBA_AUDIT_MGMT_CLEANUP_JOBS","The view displays the currently configured audit trail purge jobs"
"DBA_AUDIT_MGMT_CLEAN_EVENTS","The history of cleanup events"
"DBA_TSM_SOURCE","Transparent session migration source session statistics"
"DBA_TSM_DESTINATION","Transparent session migration source session statistics"
"DBA_TSM_HISTORY","Transparent session migration statistics"
"DBA_CHANGE_NOTIFICATION_REGS","Description of the registrations for change notification"
"USER_CHANGE_NOTIFICATION_REGS","change notification registrations for current user"
"DBA_CQ_NOTIFICATION_QUERIES","Description of registered queries for CQ notification"
"USER_CQ_NOTIFICATION_QUERIES","Description of registered queries for CQ notification"
"DBA_CPOOL_INFO","Connection pool info"
"DBA_SSCR_CAPTURE","Session state capture statistics"
"DBA_SSCR_RESTORE","Session state restore statistics"
"DBA_SUBSCR_REGISTRATIONS","All subscription registrations created in the database"
"USER_SUBSCR_REGISTRATIONS","All subscription registrations created by the user"
"DBA_QUEUE_TABLES","All queue tables created in the database"
"ALL_QUEUE_TABLES","All queue tables accessible to the user"
"USER_QUEUE_TABLES","All queue tables created by the user"
"DBA_QUEUES","All database queues"
"ALL_QUEUES","All queues accessible to the user"
"ALL_DEQUEUE_QUEUES","All queues accessible to the user"
"ALL_INT_DEQUEUE_QUEUES","All queues accessible to the user"
"USER_QUEUES","All queues owned by the user"
"DBA_RESOURCE_INCARNATIONS","Resource incarnations that are running or eligible for HA status notification"
"DBA_RSRC_PLANS","All the resource plans"
"DBA_RSRC_CONSUMER_GROUPS","all the resource consumer groups"
"DBA_RSRC_CATEGORIES","All resource consumer group categories"
"DBA_RSRC_PLAN_DIRECTIVES","all the resource plan directives"
"DBA_RSRC_CONSUMER_GROUP_PRIVS","Switch privileges for consumer groups"
"USER_RSRC_CONSUMER_GROUP_PRIVS","Switch privileges for consumer groups for the user"
"DBA_RSRC_MANAGER_SYSTEM_PRIVS","system privileges for the resource manager"
"USER_RSRC_MANAGER_SYSTEM_PRIVS","system privileges for the resource manager for the user"
"DBA_RSRC_GROUP_MAPPINGS","all the consumer group mappings"
"DBA_RSRC_MAPPING_PRIORITY","the consumer group mapping attribute priorities"
"DBA_RSRC_STORAGE_POOL_MAPPING","resource manager rules for mapping files to storage pools"
"DBA_RSRC_CAPABILITY","settings for database resources that are capable of being managed by the
Resource Manager"
"DBA_RSRC_INSTANCE_CAPABILITY","per-instance settings for database resources that are capable of being
managed by the Resource Manager"
"DBA_RSRC_IO_CALIBRATE","Results of the most recent I/O calibration"
"USER_OUTLINES","Stored outlines owned by the user"
"DBA_OUTLINES","Stored outlines"
"USER_OUTLINE_HINTS","Hints stored in outlines owned by the user"
"DBA_OUTLINE_HINTS","Hints stored in outlines"
"USER_DATAPUMP_JOBS","Datapump jobs for current user"
"DBA_DATAPUMP_JOBS","Datapump jobs"
"DBA_DATAPUMP_SESSIONS","Datapump sessions attached to a job"
"DBA_FEATURE_USAGE_STATISTICS","Database Feature Usage Statistics"
"DBA_HIGH_WATER_MARK_STATISTICS","Database High Water Mark Statistics"
"DBA_CPU_USAGE_STATISTICS","Database CPU Usage Statistics"
"DBA_ALERT_ARGUMENTS","Message Id and arguments of outstanding alerts"
"DBA_ENABLED_TRACES","Information about enabled SQL traces"
"DBA_ENABLED_AGGREGATIONS","Information about enabled on-demand statistic aggregation"
"DBA_HIST_DATABASE_INSTANCE","Database Instance Information"
"DBA_HIST_SNAPSHOT","Snapshot Information"
"DBA_HIST_SNAP_ERROR","Snapshot Error Information"
"DBA_HIST_COLORED_SQL","Marked SQLs for snapshots"
"DBA_HIST_BASELINE_METADATA","Baseline Metadata Information"
"DBA_HIST_BASELINE_TEMPLATE","Baseline Template Information"
"DBA_HIST_WR_CONTROL","Workload Repository Control Information"
"DBA_HIST_TABLESPACE","Tablespace Static Information"
"DBA_HIST_DATAFILE","Names of Datafiles"
"DBA_HIST_FILESTATXS","Datafile Historical Statistics Information"
"DBA_HIST_TEMPFILE","Names of Temporary Datafiles"
"DBA_HIST_TEMPSTATXS","Temporary Datafile Historical Statistics Information"
"DBA_HIST_COMP_IOSTAT","I/O stats aggregated on component level"
"DBA_HIST_SQLSTAT","SQL Historical Statistics Information"
"DBA_HIST_SQLTEXT","SQL Text"
"DBA_HIST_SQL_SUMMARY","Summary of SQL Statistics"
"DBA_HIST_SQL_PLAN","SQL Plan Information"
"DBA_HIST_SQL_BIND_METADATA","SQL Bind Metadata Information"
"DBA_HIST_OPTIMIZER_ENV","Optimizer Environment Information"
"DBA_HIST_EVENT_NAME","Event Names"
"DBA_HIST_SYSTEM_EVENT","System Event Historical Statistics Information"
"DBA_HIST_BG_EVENT_SUMMARY","Summary of Background Event Historical Statistics Information"
"DBA_HIST_WAITSTAT","Wait Historical Statistics Information"
"DBA_HIST_ENQUEUE_STAT","Enqueue Historical Statistics Information"
"DBA_HIST_LATCH_NAME","Latch Names"
"DBA_HIST_LATCH","Latch Historical Statistics Information"
"DBA_HIST_LATCH_CHILDREN","Latch Children Historical Statistics Information"
"DBA_HIST_LATCH_PARENT","Latch Parent Historical Historical Statistics Information"
"DBA_HIST_LATCH_MISSES_SUMMARY","Latch Misses Summary Historical Statistics Information"
"DBA_HIST_EVENT_HISTOGRAM","Event Histogram Historical Statistics Information"
"DBA_HIST_MUTEX_SLEEP","Mutex Sleep Summary Historical Statistics Information"
"DBA_HIST_LIBRARYCACHE","Library Cache Historical Statistics Information"
"DBA_HIST_DB_CACHE_ADVICE","DB Cache Advice History Information"
"DBA_HIST_BUFFER_POOL_STAT","Buffer Pool Historical Statistics Information"
"DBA_HIST_ROWCACHE_SUMMARY","Row Cache Historical Statistics Information Summary"
"DBA_HIST_SGA","SGA Historical Statistics Information"
"DBA_HIST_SGASTAT","SGA Pool Historical Statistics Information"
"DBA_HIST_PGASTAT","PGA Historical Statistics Information"
"DBA_HIST_PROCESS_MEM_SUMMARY","Process Memory Historical Summary Information"
"DBA_HIST_RESOURCE_LIMIT","Resource Limit Historical Statistics Information"
"DBA_HIST_SHARED_POOL_ADVICE","Shared Pool Advice History"
"DBA_HIST_STREAMS_POOL_ADVICE","Streams Pool Advice History"
"DBA_HIST_SQL_WORKAREA_HSTGRM","SQL Workarea Histogram History"
"DBA_HIST_PGA_TARGET_ADVICE","PGA Target Advice History"
"DBA_HIST_SGA_TARGET_ADVICE","SGA Target Advice History"
"DBA_HIST_MEMORY_TARGET_ADVICE","Memory Target Advice History"
"DBA_HIST_MEMORY_RESIZE_OPS","Memory Resize Operations History"
"DBA_HIST_INSTANCE_RECOVERY","Instance Recovery Historical Statistics Information"
"DBA_HIST_JAVA_POOL_ADVICE","Java Pool Advice History"
"DBA_HIST_THREAD","Thread Historical Statistics Information"
"DBA_HIST_STAT_NAME","Statistic Names"
"DBA_HIST_SYSSTAT","System Historical Statistics Information"
"DBA_HIST_SYS_TIME_MODEL","System Time Model Historical Statistics Information"
"DBA_HIST_OSSTAT_NAME","Operating System Statistic Names"
"DBA_HIST_OSSTAT","Operating System Historical Statistics Information"
"DBA_HIST_PARAMETER_NAME","Parameter Names"
"DBA_HIST_PARAMETER","Parameter Historical Statistics Information"
"DBA_HIST_MVPARAMETER","Multi-valued Parameter Historical Statistics Information"
"DBA_HIST_UNDOSTAT","Undo Historical Statistics Information"
"DBA_HIST_SEG_STAT"," Historical Statistics Information"
"DBA_HIST_SEG_STAT_OBJ","Segment Names"
"DBA_HIST_METRIC_NAME","Segment Names"
"DBA_HIST_SYSMETRIC_HISTORY","System Metrics History"
"DBA_HIST_SYSMETRIC_SUMMARY","System Metrics History"
"DBA_HIST_SESSMETRIC_HISTORY","System Metrics History"
"DBA_HIST_FILEMETRIC_HISTORY","File Metrics History"
"DBA_HIST_WAITCLASSMET_HISTORY","Wait Class Metric History"
"DBA_HIST_DLM_MISC","Distributed Lock Manager Miscellaneous Historical Statistics Information"
"DBA_HIST_CR_BLOCK_SERVER","Consistent Read Block Server Historical Statistics"
"DBA_HIST_CURRENT_BLOCK_SERVER","Current Block Server Historical Statistics"
"DBA_HIST_INST_CACHE_TRANSFER","Instance Cache Transfer Historical Statistics"
"DBA_HIST_PLAN_OPERATION_NAME","Optimizer Explain Plan Operation Names"
"DBA_HIST_PLAN_OPTION_NAME","Optimizer Explain Plan Option Names"
"DBA_HIST_SQLCOMMAND_NAME","Sql command types"
"DBA_HIST_TOPLEVELCALL_NAME","Oracle top level call type"
"DBA_HIST_ACTIVE_SESS_HISTORY","Active Session Historical Statistics Information"
"DBA_HIST_TABLESPACE_STAT","Tablespace Historical Statistics Information"
"DBA_HIST_LOG","Log Historical Statistics Information"
"DBA_HIST_MTTR_TARGET_ADVICE","Mean-Time-To-Recover Target Advice History"
"DBA_HIST_TBSPC_SPACE_USAGE","Tablespace Usage Historical Statistics Information"
"DBA_HIST_SERVICE_NAME","Service Names"
"DBA_HIST_SERVICE_STAT","Historical Service Statistics"
"DBA_HIST_SERVICE_WAIT_CLASS","Historical Service Wait Class Statistics"
"DBA_HIST_SESS_TIME_STATS","CPU and I/O time for interesting (STREAMS) sessions"
"DBA_HIST_STREAMS_CAPTURE","STREAMS Capture Historical Statistics Information"
"DBA_HIST_STREAMS_APPLY_SUM","STREAMS Apply Historical Statistics Information"
"DBA_HIST_BUFFERED_QUEUES","STREAMS Buffered Queues Historical Statistics Information"
"DBA_HIST_BUFFERED_SUBSCRIBERS","STREAMS Buffered Queue Subscribers Historical Statistics Information"
"DBA_HIST_RULE_SET","Rule sets historical statistics information"
"DBA_HIST_PERSISTENT_QUEUES","STREAMS AQ Persistent Queues Historical Statistics Information"
"DBA_HIST_PERSISTENT_SUBS","STREAMS AQ Persistent Queue Subscribers Historical Statistics Information"
"DBA_HIST_IOSTAT_FUNCTION","Historical I/O statistics by function"
"DBA_HIST_IOSTAT_FUNCTION_NAME","Function names for historical I/O statistics"
"DBA_HIST_IOSTAT_FILETYPE","Historical I/O statistics by file type"
"DBA_HIST_IOSTAT_FILETYPE_NAME","File type names for historical I/O statistics"
"DBA_HIST_IOSTAT_DETAIL","Historical I/O statistics by function and filetype"
"DBA_HIST_RSRC_CONSUMER_GROUP","Historical resource consumer group statistics"
"DBA_HIST_RSRC_PLAN","Historical resource plan statistics"
"DBA_HIST_CLUSTER_INTERCON","Cluster Interconnect Historical Stats"
"DBA_HIST_MEM_DYNAMIC_COMP","Historical memory component sizes"
"DBA_HIST_IC_CLIENT_STATS","Historical interconnect client statistics"
"DBA_HIST_IC_DEVICE_STATS","Historical interconnect device statistics"
"DBA_HIST_INTERCONNECT_PINGS","Instance to instance ping stats"
"DBA_HIST_DISPATCHER","Dispatcher statistics"
"DBA_HIST_SHARED_SERVER_SUMMARY","Shared Server summary statistics"
"DBA_HIST_DYN_REMASTER_STATS","Dynamic remastering statistics"
"DBA_HIST_PERSISTENT_QMN_CACHE","STREAMS AQ Persistent QMN Cache Historical Statistics Information"
"DBA_SQL_PROFILES","set of sql profiles"
"DBA_SQL_PLAN_BASELINES","set of plan baselines"
"DBA_SQL_PATCHES","set of sql patches"
"DBA_REGISTERED_SNAPSHOT_GROUPS","Snapshot repgroup registration information"
"DBA_REGISTERED_MVIEW_GROUPS","Materialized view repgroup registration information"
"ALL_REPGROUP_PRIVILEGES","Information about users who are registered for object group privileges"
"DBA_REPGROUP_PRIVILEGES","Information about users who are registered for object group privileges"
"USER_REPGROUP_PRIVILEGES","Information about users who are registered for object group privileges"
"USER_REPGROUP","Replication information about the current user"
"ALL_REPGROUP","Information about replicated object groups"
"DBA_REPGROUP","Information about all replicated object groups"
"USER_REPSITES","N-way replication information about the current user"
"ALL_REPSITES","N-way replication information"
"DBA_REPSITES","N-way replication information"
"USER_REPSCHEMA","N-way replication information about the current user"
"ALL_REPSCHEMA","N-way replication information"
"DBA_REPSCHEMA","N-way replication information"
"USER_REPOBJECT","Replication information about the current user's objects"
"ALL_REPOBJECT","Information about replicated objects"
"DBA_REPOBJECT","Information about replicated objects"
"DBA_REPCOLUMN","Replicated top-level columns (table) sorted alphabetically in ascending order"
"ALL_REPCOLUMN","Replicated top-level columns (table) sorted alphabetically in ascending order"
"USER_REPCOLUMN","Replicated columns for the current user's table in ascending order"
"USER_REPPROP","Propagation information about the current user's objects"
"ALL_REPPROP","Propagation information about replicated objects"
"DBA_REPPROP","Propagation information about replicated objects"
"DBA_REPKEY_COLUMNS","Primary columns for a table using column-level replication"
"USER_REPKEY_COLUMNS","Primary columns for a table using column-level replication"
"ALL_REPKEY_COLUMNS","Primary columns for a table using column-level replication"
"USER_REPGENOBJECTS","Objects generated for the current user to support replication"
"ALL_REPGENOBJECTS","Objects generated to support replication"
"DBA_REPGENOBJECTS","Objects generated to support replication"
"USER_REPGENERATED","Objects generated for the current user to support replication"
"ALL_REPGENERATED","Objects generated to support replication"
"DBA_REPGENERATED","Objects generated to support replication"
"USER_REPCATLOG","Information about the current user's asynchronous administration requests"
"ALL_REPCATLOG","Information about asynchronous administration requests"
"DBA_REPCATLOG","Information about asynchronous administration requests"
"USER_REPDDL","Arguments that do not fit in a single repcat log record"
"ALL_REPDDL","Arguments that do not fit in a single repcat log record"
"DBA_REPDDL","Arguments that do not fit in a single repcat log record"
"DBA_REPPRIORITY_GROUP","Information about all priority groups in the database"
"ALL_REPPRIORITY_GROUP","Information about all priority groups which are accessible to the user"
"USER_REPPRIORITY_GROUP","Information about user's priority groups"
"DBA_REPPRIORITY","Values and their corresponding priorities in all priority groups in the database"
"ALL_REPPRIORITY","Values and their corresponding priorities in all priority groups which are accessible to the user"
"USER_REPPRIORITY","Values and their corresponding priorities in user's priority groups"
"DBA_REPCOLUMN_GROUP","All column groups of replicated tables in the database"
"ALL_REPCOLUMN_GROUP","All column groups of replicated tables which are accessible to the user"
"USER_REPCOLUMN_GROUP","All column groups of user's replicated tables"
"DBA_REPGROUPED_COLUMN","Columns in the all column groups of replicated tables in the database"
"ALL_REPGROUPED_COLUMN","Columns in the all column groups of replicated tables which are accessible to the user"
"USER_REPGROUPED_COLUMN","Columns in the all column groups of user's replicated tables"
"DBA_REPCONFLICT","All conflicts for which users have specified resolutions in the database"
"ALL_REPCONFLICT","All conflicts with available resolutions for user's replicated tables"
"DBA_REPRESOLUTION_METHOD","All conflict resolution methods in the database"
"ALL_REPRESOLUTION_METHOD","All conflict resolution methods accessible to the user"
"USER_REPRESOLUTION_METHOD","All conflict resolution methods accessible to the user"
"DBA_REPRESOLUTION","Description of all conflict resolutions in the database"
"ALL_REPRESOLUTION","Description of all conflict resolutions for replicated tables which are accessible to the user"
"USER_REPRESOLUTION","Description of all conflict resolutions for user's replicated tables"
"DBA_REPRESOLUTION_STATISTICS","Statistics for conflict resolutions for all replicated tables in the database"
"ALL_REPRESOLUTION_STATISTICS","Statistics for conflict resolutions for replicated tables which are accessible to the user"
"USER_REPRESOLUTION_STATISTICS","Statistics for conflict resolutions for user's replicated tables"
"DBA_REPRESOL_STATS_CONTROL","Information about statistics collection for conflict resolutions for all replicated tables in the database"
"ALL_REPRESOL_STATS_CONTROL","Information about statistics collection for conflict resolutions for replicated tables which are accessible to the user"
"USER_REPRESOL_STATS_CONTROL","Information about statistics collection for conflict resolutions for user's replicated tables"
"DBA_REPPARAMETER_COLUMN","All columns used for resolving conflicts in the database"
"ALL_REPPARAMETER_COLUMN","All columns used for resolving conflicts in replicated tables which are accessible to the user"
"USER_REPPARAMETER_COLUMN","All columns used for resolving conflicts in user's replicated tables"
"DBA_REPAUDIT_ATTRIBUTE","Information about attributes automatically maintained for replication"
"ALL_REPAUDIT_ATTRIBUTE","Information about attributes automatically maintained for replication"
"USER_REPAUDIT_ATTRIBUTE","Information about attributes automatically maintained for replication"
"DBA_REPAUDIT_COLUMN","Information about columns in all shadow tables for all replicated tables in the database"
"ALL_REPAUDIT_COLUMN","Information about columns in all shadow tables for replicated tables which are accessible to the user"
"USER_REPAUDIT_COLUMN","Information about columns in all shadow tables for user's replicated tables"
"DBA_REPFLAVORS","Flavors defined for replicated object groups"
"ALL_REPFLAVORS","Flavors defined for replicated object groups"
"USER_REPFLAVORS","Flavors current user created for replicated object groups"
"DBA_REPFLAVOR_OBJECTS","Replicated objects in flavors"
"ALL_REPFLAVOR_OBJECTS","Replicated objects in flavors"
"USER_REPFLAVOR_OBJECTS","Replicated user objects in flavors"
"DBA_REPFLAVOR_COLUMNS","Replicated columns in flavors"
"ALL_REPFLAVOR_COLUMNS","Replicated columns in flavors"
"USER_REPFLAVOR_COLUMNS","Replicated columns from current user's tables in flavors"
"DBA_TEMPLATE_REFGROUPS","Table for maintaining refresh group information for template."
"DBA_TEMPLATE_TARGETS","Internal table for tracking potential target databases for templates."
"DBA_REPCAT_EXCEPTIONS","Repcat processing exceptions table."
"DBA_REPEXTENSIONS","Information about replication extension requests"
"DBA_REPSITES_NEW","Information about new masters for replication extension"
"DBA_USERS_WITH_DEFPWD","Users that are still using their default passwords"
"USER_WARNING_SETTINGS","Warning Parameter settings for objects owned by the user"
"ALL_WARNING_SETTINGS","Warnings ettings for objects accessible to the user"
"DBA_WARNING_SETTINGS","warning settings for all objects"
"ALL_STAT_EXTENSIONS","Optimizer statistics extensions"
"DBA_STAT_EXTENSIONS","Optimizer statistics extensions"
"USER_STAT_EXTENSIONS","Optimizer statistics extensions"
"ALL_TAB_STATISTICS","Optimizer statistics for all tables accessible to the user"
"DBA_TAB_STATISTICS","Optimizer statistics for all tables in the database"
"USER_TAB_STATISTICS","Optimizer statistics of the user's own tables"
"ALL_IND_STATISTICS","Optimizer statistics for all indexes on tables accessible to the user"
"DBA_IND_STATISTICS","Optimizer statistics for all indexes in the database"
"USER_IND_STATISTICS","Optimizer statistics for user's own indexes"
"DBA_PENDING_TRANSACTIONS","information about unresolved global transactions"
"DBA_AWS","Analytic Workspaces in the database"
"USER_AWS","Analytic Workspaces owned by the user"
"ALL_AWS","Analytic Workspaces accessible to the user"
"DBA_AW_PS","Pagespaces in Analytic Workspaces owned by the user"
"USER_AW_PS","Pagespaces in Analytic Workspaces owned by the user"
"ALL_AW_PS","Pagespaces in Analytic Workspaces accessible to the user"
"DBA_CUBES","OLAP Cubes in the database"
"ALL_CUBES","OLAP Cubes in the database accessible to the user"
"USER_CUBES","OLAP Cubes owned by the user in the database"
"DBA_CUBE_DIMENSIONALITY","OLAP Cube Dimensionality in the database"
"ALL_CUBE_DIMENSIONALITY","OLAP Cube Dimensionality in the database accessible to the user"
"USER_CUBE_DIMENSIONALITY","OLAP Cube Dimensionality owned by the user in the database"
"DBA_CUBE_MEASURES","OLAP Measures in the database"
"ALL_CUBE_MEASURES","OLAP Measures in the database accessible to the user"
"USER_CUBE_MEASURES","OLAP Measures owned by the user in the database"
"DBA_CUBE_DIMENSIONS","OLAP Cube Dimensions in the database"
"ALL_CUBE_DIMENSIONS","OLAP Cube Dimensions in the database accessible by the user"
"USER_CUBE_DIMENSIONS","OLAP Cube Dimensions owned by the user in the database"
"DBA_CUBE_HIERARCHIES","OLAP Hierarchies in the database"
"ALL_CUBE_HIERARCHIES","OLAP Hierarchies in the database accessible by the user"
"USER_CUBE_HIERARCHIES","OLAP Hierarchies owned by the user in the database"
"DBA_CUBE_HIER_LEVELS","OLAP Hierarchy Levels in the database"
"ALL_CUBE_HIER_LEVELS","OLAP Hierarchy Levels in the database accessible to the user"
"USER_CUBE_HIER_LEVELS","OLAP Hierarchy Levels owned by the user in the database"
"DBA_CUBE_DIM_LEVELS","OLAP Dimension Levels in the database"
"ALL_CUBE_DIM_LEVELS","OLAP Dimension Levels in the database accessible by the user"
"USER_CUBE_DIM_LEVELS","OLAP Dimension Levels owned by the user in the database"
"DBA_CUBE_ATTRIBUTES","OLAP Attributes in the database"
"ALL_CUBE_ATTRIBUTES","OLAP Attributes in the database accessible by the user"
"USER_CUBE_ATTRIBUTES","OLAP Attributes owned by the user in the database"
"DBA_CUBE_ATTR_VISIBILITY","OLAP Attributes visible for Dimensions, Hierarchies, and Levels"
"ALL_CUBE_ATTR_VISIBILITY","OLAP Attributes visible for Dimensions, Hierarchies, and Levels"
"USER_CUBE_ATTR_VISIBILITY","OLAP Attributes visible for Dimensions, Hierarchies, and Levels"
"DBA_CUBE_DIM_MODELS","OLAP Dimension Models in the database"
"ALL_CUBE_DIM_MODELS","OLAP Dimension Models in the database accessible to the user"
"USER_CUBE_DIM_MODELS","OLAP Dimension Models in the database accessible to the user"
"DBA_CUBE_CALCULATED_MEMBERS","OLAP Calculated Members in the database"
"ALL_CUBE_CALCULATED_MEMBERS","OLAP Calculated Members in the database accessible to the user"
"USER_CUBE_CALCULATED_MEMBERS","OLAP Calculated Members in the database accessible to the user"
